StationId,PositionName,Area,UniqueCode,StationCode,StationPic,Longitude,Latitude,StationTypeId
3231,宿迁学院,宿迁市,321300402,1220A,,118.293,33.9528,1
4507,宿豫区环保局(20181206停运）,宿迁市,321300408,1222A,defaultStation.jpg,118.3214,33.9506,1
4508,滨江,杭州市,330100062,1223A,,120.211,30.21,1
4509,西溪,杭州市,330100060,1224A,,120.063,30.2747,1
4510,千岛湖(对照点)(停运210415),杭州市,330100011,1225A,defaultStation.jpg,119.026,29.635,1
4511,下沙,杭州市,330100056,1226A,,120.348,30.3058,1
4512,卧龙桥,杭州市,330100055,1227A,,120.127,30.2456,1
4513,朝晖五区(停运210415),杭州市,330100052,1229A,defaultStation.jpg,120.157,30.2897,1
4514,和睦小学,杭州市,330100051,1230A,,120.12,30.3119,1
4515,临平镇,杭州市,330100059,1231A,,120.301,30.4183,1
4516,城厢镇,杭州市,330100058,1232A,,120.27,30.1819,1
4517,万里学院,宁波市,330200056,1235A,,121.56,29.8208,1
4518,龙赛医院,宁波市,330200054,1236A,,121.713,29.9572,1
4519,三江中学(停运200303),宁波市,330200052,1237A,defaultStation.jpg,121.554,29.8906,1
4520,市政管理站（已停运）,宁波市,330200059,1238A,,121.615,29.9017,1
4521,钱湖水厂,宁波市,330200057,1239A,,121.633,29.7736,1
4522,太古小学,宁波市,330200051,1240A,,121.586,29.8633,1
4523,瓯海,温州市,330300053,1242A,,120.634,28.0089,1
4524,南浦,温州市,330300055,1243A,,120.677,27.9939,1
4525,龙湾,温州市,330300054,1244A,,120.76,27.9747,1
4526,袍江站(停运210421),绍兴市,330600052,1246A,defaultStation.jpg,120.598,30.0911,1
4527,市环保站(停运160701),绍兴市,330600051,1248A,,120.576,30.007,1
4528,城西水厂,湖州市,330500053,1250A,,120.07,30.8244,1
4529,吉山新村(停运160104),湖州市,330500051,1251A,,120.093,30.8617,1
4530,嘉兴学院,嘉兴市,330400052,1253A,,120.726,30.7478,1
4531,监测站（已停运）,嘉兴市,330400051,1254A,,120.763,30.7567,1
4532,台州环保大楼,台州市,331000051,1256A,,121.419,28.6542,1
4533,路桥田洋王,台州市,331000052,1257A,,121.377,28.5773,1
4534,定海檀枫,舟山市,330900402,1258A,,122.122,30.0203,1
4535,普陀东港,舟山市,330900401,1259A,,122.3094,29.9558,1
4536,四中(停运161031),金华市,330700401,1261A,,119.649,29.1131,1
4537,十五中,金华市,330700403,1262A,,119.647,29.077,1
4538,环保大楼,衢州市,330800401,1264A,,118.871,28.9404,1
4539,实验学校,衢州市,330800351,1265A,,118.871,28.9664,1
4502,监测站大楼,丽水市,331100401,1267A,,119.914,28.4514,1
3151,余庄前,丽水市,331100601,1269A,,119.879,28.4231,1
3152,明珠广场,合肥市,340100054,1270A,,117.196,31.7848,1
3153,三里街,合肥市,340100051,1271A,,117.307,31.8766,1
3154,董铺水库(对照点),合肥市,340100030,1273A,,117.16,31.9051,1
3155,长江中路,合肥市,340100052,1274A,,117.25,31.8572,1
3156,庐阳区,合肥市,340100201,1275A,,117.266,31.9438,1
3157,包河区,合肥市,340100203,1277A,,117.302,31.7956,1
3158,滨湖新区,合肥市,340100204,1278A,,117.278,31.7386,1
3159,高新区,合肥市,340100205,1279A,,117.1233,31.8403,1
3160,鼓山(对照点),福州市,350100001,1280A,,119.389,26.0542,1
3161,快安(停运170419),福州市,350100063,1281A,,119.414,26.0258,1
3162,杨桥西路,福州市,350100062,1284A,,119.268,26.0797,1
3163,紫阳,福州市,350100052,1285A,,119.315,26.0753,1
3164,溪东(对照点),厦门市,350200021,1286A,,118.1569444,24.81805556,1
3165,湖里(已停运),厦门市,350200073,1289A,,118.0942,24.515,1
3166,省外办,南昌市,360100053,1290A,,115.893,28.6844,1
3167,省林业公司,南昌市,360100054,1291A,,115.8886,28.6839,1
3168,京东镇政府(停运200108),南昌市,360100060,1293A,,115.973,28.6969,1
3169,建工学校,南昌市,360100061,1294A,,115.852,28.6869,1
3170,象湖,南昌市,360100062,1295A,,115.892,28.6425,1
3171,武术学校(对照点),南昌市,360100002,1296A,,115.742,28.7994,1
3129,省站,南昌市,360100052,1298A,,115.931,28.6844,1
3172,农科所,济南市,370100057,1300A,,116.93,36.67,1
3173,开发区,济南市,370100056,1301A,,117.114,36.6739,1
3174,济南化工厂(停运200106),济南市,370100051,1302A,,116.989,36.6872,1
3175,机床二厂,济南市,370100054,1304A,,116.943,36.6489,1
3176,市监测站,济南市,370100052,1305A,,117.049,36.6622,1
3177,长清党校,济南市,370100058,1306A,,116.7672,36.5464,1
3178,仰口(对照点),青岛市,370200001,1307A,,120.6659,36.2403,1
3135,市北区子站(停运210623),青岛市,370200076,1309A,defaultStation.jpg,120.3471,36.0699,1
3136,市南区东部子站,青岛市,370200077,1310A,,120.4134,36.0654,1
3137,四方区子站,青岛市,370200078,1311A,,120.3664,36.1032,1
3138,市南区西部子站,青岛市,370200079,1312A,,120.2992,36.0543,1
