城市编码,名称,所属省份编码,所属区域,Longitude,Latitude
150300,乌海,150000,"全国,西北区域",106.812475,39.6923
150500,通辽,150000,"全国,东北区域",122.2736,43.63492
150600,鄂尔多斯,150000,"全国,西北区域",109.90196,39.72498
150700,呼伦贝尔,150000,"全国,东北区域",119.7553,49.1919
150800,巴彦淖尔,150000,"全国,西北区域",107.3956,40.7491
152200,兴安盟,150000,"全国,东北区域",122.0275667,46.07013333
152900,阿拉善盟,150000,"全国,西北区域",105.71125,38.84635
210200,大连,210000,"全国,东北区域",121.6276,38.95012
210400,抚顺,210000,"全国,东北区域",123.91465,41.8653
210500,本溪,210000,"全国,东北区域",123.7802333,41.30805
210600,丹东,210000,"全国,东北区域",124.378125,40.117025
211200,铁岭,210000,"全国,东北区域",123.810675,42.275725
220100,长春,220000,"全国,东北区域",125.3191222,43.85208889
220200,吉林,220000,"全国,东北区域",126.5453,43.86721667
220300,四平,220000,"全国,东北区域",124.37512,43.16934
220400,辽源,220000,"全国,东北区域",125.1229667,42.89586667
220500,通化,220000,"全国,东北区域",125.9402,41.7249
220600,白山,220000,"全国,东北区域",126.4148,41.9295
220700,松原,220000,"全国,东北区域",124.79855,45.1468
220800,白城,220000,"全国,东北区域",122.83245,45.5901
222400,延边朝鲜族自治州,220000,"全国,东北区域",129.4573,42.89573333
230100,哈尔滨,230000,"全国,东北区域",126.6557,45.73690909
230200,齐齐哈尔,230000,"全国,东北区域",123.8386667,47.28903333
230300,鸡西,230000,"全国,东北区域",130.9880833,45.30361667
230400,鹤岗,230000,"全国,东北区域",130.2778333,47.32966667
230500,双鸭山,230000,"全国,东北区域",131.1643333,46.65823333
230600,大庆,230000,"全国,东北区域",125.0044283,46.46784667
230700,伊春,230000,"全国,东北区域",128.81959,47.68695667
230800,佳木斯,230000,"全国,东北区域",130.3413,46.80855
230900,七台河,230000,"全国,东北区域",130.96382,45.79466
231000,牡丹江,230000,"全国,东北区域",129.61738,44.57784
231100,黑河,230000,"全国,东北区域",127.49885,50.24325
231200,绥化,230000,"全国,东北区域",126.97125,46.64465
232700,大兴安岭地区,230000,"全国,东北区域",124.1139667,50.42146667
310000,上海,310000,"全国,华东（长三角区域）",121.4829684,31.17438947
320100,南京,320000,"全国,华东（长三角区域）",118.8160692,31.98441538
320200,无锡,320000,"全国,华东（长三角区域）",120.2934556,31.5584
320300,徐州,320000,"全国,华东（长三角区域）",117.2487875,34.276125
320400,常州,320000,"全国,华东（长三角区域）",119.90165,31.7746625
320500,苏州,320000,"全国,华东（长三角区域）",120.6034,31.30502222
320600,南通,320000,"全国,华东（长三角区域）",120.9130857,32.00125714
320700,连云港,320000,"全国,华东（长三角区域）",119.2684571,34.69438571
320800,淮安,320000,"全国,华东（长三角区域）",119.0101833,33.5338
320900,盐城,320000,"全国,华东（长三角区域）",120.2034667,33.3474
321000,扬州,320000,"全国,华东（长三角区域）",119.44664,32.40104
321100,镇江,320000,"全国,华东（长三角区域）",119.5102,32.1761
321200,泰州,320000,"全国,华东（长三角区域）",119.93895,32.44753333
321300,宿迁,320000,"全国,华东（长三角区域）",118.285675,33.955425
330100,杭州,330000,"全国,华东（长三角区域）",120.1278083,30.24844167
330200,宁波,330000,"全国,华东（长三角区域）",121.6199444,29.8758
330300,温州,330000,"全国,华东（长三角区域）",120.68764,27.98386
330400,嘉兴,330000,"全国,华东（长三角区域）",120.73645,30.76305
330500,湖州,330000,"全国,华东（长三角区域）",120.1156667,30.874
330700,金华,330000,"全国,华东（长三角区域）",119.660525,29.1014
330800,衢州,330000,"全国,华东（长三角区域）",118.8674,28.9624
330900,舟山,330000,"全国,华东（长三角区域）",122.2071333,29.99016667
331000,台州,330000,"全国,华东（长三角区域）",121.33145,28.636375
331100,丽水,330000,"全国,华东（长三角区域）",119.9076667,28.44436667
331300,绍兴,330000,"全国,华东（长三角区域）",120.6265125,30.021475
340100,合肥,340000,"全国,华东（长三角区域）",117.27063,31.84811
